"사용","카테고리","난이도","발표 주제","슬라이드1 제목","슬라이드1 내용","슬라이드2 제목","슬라이드2 내용","슬라이드3 제목","슬라이드3 내용","참고자료"
"TRUE","기술·AI","고급","설명 가능한 AI","AI가 왜 그런 답을 냈는지 보여주기","설명 가능한 AI는 모델의 예측에 영향을 준 특징, 규칙 또는 근거를 사람이 이해할 수 있게 제시하는 기술과 원칙이다. 의료·채용·금융처럼 결정의 영향이 큰 분야에서 중요하다.","설명은 모델 자체일 수도 사후 해석일 수도 있다","의사결정나무처럼 구조가 비교적 투명한 모델도 있고, 복잡한 모델의 입력을 조금씩 바꿔 영향도를 추정하는 SHAP·LIME 같은 사후 설명도 있다. 설명은 항상 완전한 원인과 같지는 않다.","정확한 모델과 이해 가능한 모델","설명은 오류·편향 발견과 책임 있는 판단을 돕지만 그럴듯한 설명이 사용자를 속일 수도 있다. 질문: 정확도가 조금 낮아도 설명 가능한 모델을 선택해야 하는 상황은 언제일까?",""
"TRUE","기술·AI","입문","메타버스","여러 사람이 지속적으로 만나는 디지털 공간","메타버스는 아바타로 참여해 소통·창작·경제활동을 할 수 있는 지속적인 가상 공간을 가리키는 넓은 개념이다. 반드시 VR 기기가 있어야 하는 것은 아니다.","몰입감보다 연결성과 규칙이 핵심이다","3D 그래픽, 실시간 네트워크, 디지털 정체성, 사용자 제작 콘텐츠가 결합된다. 서로 다른 서비스 사이에서 아바타와 자산이 이동하는 상호운용성은 아직 제한적이다.","가상 실습실인가 또 하나의 플랫폼인가","위험한 장비 훈련과 원격 협업에 유용하지만 멀미, 개인정보, 중독, 디지털 소유권 문제가 있다. 질문: 학교 메타버스가 화상회의보다 나아지려면 꼭 필요한 기능은 무엇일까?",""
"TRUE","기술·AI","중급","제로 트러스트 보안","내부 사용자도 자동으로 믿지 않는다","제로 트러스트는 네트워크 안에 있다는 이유만으로 신뢰하지 않고 모든 접근을 계속 확인하는 보안 원칙이다. 핵심 문장은 ‘절대 신뢰하지 말고 항상 검증하라’다.","사람·기기·상황마다 최소 권한","로그인 신원, 기기 상태, 위치, 요청 자원을 확인하고 필요한 권한만 짧게 부여한다. 네트워크를 작은 구역으로 나누면 한 계정이 뚫려도 공격 확산을 줄일 수 있다.","보안은 제품 하나가 아니라 운영 방식","다중인증과 접근 정책이 중요하지만 너무 복잡하면 사용자가 우회할 수 있다. 질문: 실습실 컴퓨터에 제로 트러스트를 적용한다면 편의성을 해치지 않고 무엇부터 검증할까?",""
"TRUE","기술·AI","고급","양자 컴퓨터","큐비트로 가능성을 계산한다","양자 컴퓨터는 0과 1의 중첩 상태를 가질 수 있는 큐비트와 얽힘·간섭을 이용해 계산한다. 모든 문제를 빠르게 푸는 기계가 아니라 특정 구조의 문제에서 장점이 기대된다.","정답 확률을 키우고 오답을 상쇄한다","양자 게이트로 상태의 진폭과 위상을 바꾸고 간섭을 설계해 원하는 결과의 측정 확률을 높인다. 큐비트는 잡음에 매우 약해 오류정정을 위해 많은 물리 큐비트가 필요하다.","암호·화학·최적화의 가능성과 과장","쇼어 알고리즘은 큰 수 인수분해에, 양자 시뮬레이션은 분자 연구에 가능성을 보인다. 질문: 현재의 작은 양자 장치와 오류정정 양자 컴퓨터를 구분해 말해야 하는 이유는 무엇일까?",""
"TRUE","공학 일반","입문","3D 프린팅","깎지 않고 층층이 쌓아 만든다","3D 프린팅은 디지털 3차원 모델을 얇은 층으로 나누고 재료를 한 층씩 쌓아 물체를 만드는 적층제조 방식이다. 복잡한 내부 구조와 맞춤형 제품에 강하다.","모델·슬라이싱·출력·후처리","CAD 모델을 STL이나 3MF로 내보내고 슬라이서가 이동 경로와 적층 조건을 만든다. FDM은 녹인 필라멘트를, SLA는 빛으로 굳는 수지를 사용하며 출력 뒤 지지대 제거와 표면 처리가 필요하다.","모든 제품을 대신 만들지는 않는다","시제품과 소량 맞춤품에는 유리하지만 대량생산 속도, 층간 강도, 재료 제한이 있다. 질문: 같은 부품 1개와 10만 개를 만들 때 공정 선택이 어떻게 달라질까?",""
"TRUE","공학 일반","고급","PID 제어","오차를 보고 계속 고치는 제어기","PID 제어는 목표값과 측정값의 오차를 비례 P, 적분 I, 미분 D 세 항으로 계산해 모터·히터 등에 명령을 주는 피드백 제어 방식이다.","현재·과거·변화 속도를 함께 본다","P는 현재 오차에 즉시 반응하고, I는 오차가 오래 남으면 누적해 정상상태 오차를 줄이며, D는 오차 변화가 빠를 때 제동을 건다. 이득이 너무 크면 진동하거나 응답이 느려질 수 있다.","빠름·정확함·안정성의 타협","온도, 속도, 위치 제어에 널리 쓰이며 튜닝이 핵심이다. 질문: 목표에 빨리 도착하지만 크게 넘는 제어와 느리지만 부드러운 제어 중 어느 쪽이 좋은가?",""
"TRUE","공학 일반","고급","공진 현상","작은 반복 힘이 큰 진동을 만든다","공진은 외부에서 가하는 주기적 힘의 주파수가 시스템의 고유진동수와 가까울 때 진폭이 크게 증가하는 현상이다. 그네를 알맞은 타이밍에 밀면 높이 올라가는 것과 같다.","에너지가 같은 리듬으로 계속 더해진다","질량과 강성은 고유진동수를 정하고 감쇠는 진동 증가를 줄인다. 회전체 불균형이나 모터 주파수가 구조 고유진동수와 겹치면 소음과 피로파손이 생길 수 있다.","피해야 할 때와 이용할 때","건물·기계에서는 공진을 피하거나 댐퍼를 달지만 악기와 센서에서는 공진을 활용한다. 질문: 설계 단계에서 공진 위험을 줄이는 방법을 세 가지로 나눠볼 수 있을까?",""
"TRUE","공학 일반","입문","스마트 팩토리","공장이 스스로 상태를 보고 판단한다","스마트 팩토리는 설비·제품·사람의 데이터를 연결해 생산 상태를 실시간으로 파악하고 품질·일정·에너지를 최적화하는 공장이다. 로봇을 많이 쓰는 것만으로 완성되지는 않는다.","센서에서 의사결정까지 데이터가 흐른다","PLC와 센서가 현장 데이터를 모으고 MES가 생산을 관리하며 분석 시스템이 이상을 찾는다. 표준화된 데이터와 설비 간 통신이 없으면 자동화 섬만 늘어날 수 있다.","자동화보다 먼저 해결할 문제","불량 예측과 유연 생산에 유리하지만 초기 비용, 보안, 작업자 재교육이 필요하다. 질문: 오래된 공장을 스마트화한다면 센서 추가와 공정 표준화 중 무엇부터 해야 할까?",""
"TRUE","공학 일반","중급","탄소섬유 강화 플라스틱","가볍지만 강한 복합재료","탄소섬유 강화 플라스틱은 강성과 인장강도가 큰 탄소섬유를 수지에 넣어 만든 복합재료다. 섬유가 하중을 견디고 수지는 형태를 유지하며 섬유 사이 힘을 전달한다.","섬유 방향이 곧 재료의 성질이다","섬유 방향으로는 매우 강하지만 수직 방향과 층 사이 충격에는 약할 수 있다. 설계자는 하중 방향에 맞춰 여러 각도의 얇은 층을 쌓고 열과 압력으로 경화한다.","항공기부터 로봇 팔까지","경량화로 에너지를 절약하지만 가격, 손상 검사, 재활용과 수리가 어렵다. 질문: 금속보다 가벼운 것만 보고 재료를 선택하면 어떤 위험이 생길까?",""
"TRUE","공학 일반","입문","리버스 엔지니어링","완성품에서 설계 의도를 거꾸로 찾는다","리버스 엔지니어링은 기존 제품·부품·소프트웨어를 측정하고 분석해 구조, 기능, 제조 방법을 이해하거나 디지털 모델을 복원하는 과정이다.","측정에서 모델과 검증까지","3D 스캐너나 측정기로 형상을 얻고 점군을 정리해 CAD 형상을 만든 뒤 실제 부품과 오차를 비교한다. 치수만 복사하는 것이 아니라 공차·재료·조립 관계를 추론해야 한다.","수리와 개선, 그리고 권리의 경계","단종 부품 복원과 품질 검사에는 유용하지만 특허·저작권·영업비밀을 침해할 수 있다. 질문: 호환 부품 제작과 무단 복제의 경계를 어떤 기준으로 판단해야 할까?",""
"TRUE","공학 일반","중급","디지털 논리회로","0과 1로 판단하는 전자회로","디지털 논리회로는 전압 범위를 0과 1로 구분하고 AND, OR, NOT 같은 논리 연산으로 정보를 처리한다. 복잡한 컴퓨터도 이 기본 게이트들의 조합으로 만들어진다.","조합회로와 순서회로의 차이","가산기처럼 현재 입력만으로 출력이 정해지는 조합회로와 플립플롭처럼 이전 상태를 기억하는 순서회로가 있다. 클록은 여러 저장 소자가 같은 리듬으로 상태를 바꾸게 한다.","진리표에서 CPU까지","PLC 입력 처리, 카운터, 메모리, 프로세서 설계에 쓰인다. 질문: 실제 전압에는 잡음이 있는데 어떻게 안정적으로 0과 1을 구분할까?",""
"TRUE","공학 일반","고급","열역학 제2법칙","열과 에너지 변환에는 방향과 한계가 있다","열역학 제2법칙은 고립된 계의 엔트로피가 감소하지 않으며 열이 저절로 차가운 곳에서 뜨거운 곳으로 흐르지 않는다고 말한다. 에너지가 보존되어도 모두 일을 할 수 있는 것은 아니다.","완벽한 열기관은 만들 수 없다","열기관은 뜨거운 열원에서 받은 열 일부를 일로 바꾸고 나머지를 차가운 열원에 버려야 한다. 두 온도로 정해지는 카르노 효율은 가능한 최대 효율의 상한이다.","효율 100% 광고를 의심해야 하는 이유","발전소·냉동기·엔진 설계의 한계를 정하며 폐열 회수의 가치를 보여준다. 질문: 마찰을 완전히 없애도 열기관 효율이 100%가 될 수 없는 이유는 무엇일까?",""
"TRUE","공학 일반","고급","유한요소해석","복잡한 구조를 작은 조각으로 나눠 계산한다","유한요소해석은 연속체를 삼각형·사면체 같은 유한한 요소로 나누고 각 요소의 물리 방정식을 연결해 변형, 응력, 온도 등을 근사하는 방법이다.","좋은 메시가 좋은 답의 시작이다","재료 특성, 하중, 구속조건을 정하고 메시를 만든 뒤 전체 방정식을 푼다. 응력이 급변하는 곳은 요소를 촘촘히 하고 메시를 더 세밀하게 했을 때 결과가 수렴하는지 확인해야 한다.","색깔 그림이 곧 정답은 아니다","시제품 전 설계 비교에 강하지만 잘못된 경계조건은 그럴듯한 오답을 만든다. 질문: 해석 결과를 실제 시험과 비교하지 않으면 놓칠 수 있는 것은 무엇일까?",""
"TRUE","공학 일반","중급","도시형 항공 모빌리티","도시 하늘을 이동하는 새로운 교통","도시형 항공 모빌리티는 전기 수직이착륙기 등을 이용해 도심과 주변 지역의 사람·화물을 운송하려는 교통 체계다. 항공기뿐 아니라 버티포트, 관제, 충전, 정비를 포함한다.","여러 로터와 전기 추진의 장단점","분산전기추진은 여러 모터로 양력과 제어를 나눠 수직이착륙을 가능하게 하지만 배터리 에너지밀도와 비상 상황의 안전 설계가 중요하다.","빠른 이동이 모두의 교통이 되려면","교통 정체를 줄일 가능성이 있지만 소음, 날씨, 요금, 주민 수용성과 공역 관리가 과제다. 질문: 기술이 준비되어도 도시가 받아들이지 않을 수 있는 이유는 무엇일까?",""
"TRUE","사회·상식","입문","확증 편향","믿고 싶은 정보만 더 잘 보인다","확증 편향은 이미 가진 믿음을 지지하는 정보는 찾고 기억하면서 반대 정보는 무시하거나 낮게 평가하는 경향이다. 누구에게나 나타날 수 있는 사고의 지름길이다.","같은 결과도 다르게 해석한다","좋아하는 팀이 이기면 실력, 지면 심판 탓이라고 보는 식으로 기준이 달라질 수 있다. 검색어와 팔로우 목록도 비슷한 관점만 반복 노출해 편향을 강화한다.","내 생각을 반박하는 증거를 일부러 찾기","반대 가설 세우기, 출처 비교, 판단 기준 미리 정하기가 도움이 된다. 질문: 토론에서 상대를 이기려는 태도와 내 생각을 검증하려는 태도는 어떻게 다를까?",""
"TRUE","사회·상식","입문","필터 버블","알고리즘이 만든 나만의 정보 거품","필터 버블은 플랫폼이 사용자의 클릭·검색 기록에 맞춰 정보를 추천하면서 다른 관점이나 새로운 정보가 보이지 않게 되는 현상을 뜻한다.","편리한 개인화가 시야를 좁힐 수 있다","추천 시스템은 관심 있을 확률이 높은 콘텐츠를 앞에 놓아 체류 시간을 늘린다. 사용자가 비슷한 콘텐츠를 다시 클릭하면 학습 신호가 강화되어 정보 환경이 점점 좁아질 수 있다.","알고리즘만의 책임은 아니다","사용자의 선택, 친구 관계, 플랫폼 목표가 함께 작동한다. 질문: 추천을 끄는 것 외에 다양한 관점을 접하도록 서비스와 사용자가 할 수 있는 일은 무엇일까?",""
"TRUE","사회·상식","중급","긱 이코노미","짧은 일감을 중심으로 움직이는 노동","긱 이코노미는 장기 고용 대신 배달, 운전, 디자인처럼 과업 단위의 단기 계약이나 플랫폼 중개 노동이 늘어나는 경제 형태다.","자유로운 시간과 불안정한 보호","노동자는 일할 시간과 양을 선택할 수 있지만 소득 변동, 산재, 보험, 퇴직과 같은 보호가 약할 수 있다. 플랫폼의 배차·평점 알고리즘이 실제 노동 조건을 좌우하기도 한다.","근로자인가 독립 사업자인가","지위에 따라 최저임금과 사회보험 책임이 달라져 여러 나라에서 논쟁이 이어진다. 질문: 유연성을 유지하면서 기본 보호를 제공하려면 비용을 누가 부담해야 할까?",""
"TRUE","사회·상식","입문","탄소 중립","배출한 만큼 흡수·제거해 순배출 0","탄소 중립은 온실가스 배출을 최대한 줄이고 남은 배출량을 흡수하거나 제거해 순배출량을 0으로 만드는 목표다. 아무것도 배출하지 않는다는 뜻과는 다르다.","감축이 먼저, 상쇄는 남은 부분에","에너지 효율, 재생에너지, 전기화로 직접 배출을 줄이고 피하기 어려운 배출을 산림·탄소포집 등으로 보완한다. 계산 범위와 기준연도를 명확히 해야 한다.","숫자 뒤의 범위를 확인하자","기업이 공장만 계산하고 공급망을 빼면 실제 영향이 작을 수 있다. 질문: 학교의 탄소 중립 계획에서 전기, 급식, 통학 중 무엇부터 측정하고 줄여야 할까?",""
"TRUE","사회·상식","중급","기본소득","조건 없이 모두에게 정기적으로 지급","기본소득은 자산·소득 조사나 근로 조건 없이 사회 구성원 모두에게 개인 단위로 정기 지급하는 현금 소득 구상이다. 기존 복지와의 관계와 지급 수준에 따라 형태가 달라진다.","단순함과 재원 문제가 맞선다","복지 사각지대와 행정비용을 줄이고 선택의 자유를 높일 수 있다는 주장과, 막대한 재원·물가·노동 의욕을 걱정하는 주장이 있다. 실험 결과는 규모와 기간에 따라 해석이 다르다.","찬반보다 설계 조건을 묻기","세금과 기존 복지 조정 방식에 따라 누가 이득을 보는지가 달라진다. 질문: 같은 예산이라면 모두에게 적게 주는 것과 필요한 사람에게 많이 주는 것 중 무엇이 공정할까?",""
"TRUE","사회·상식","중급","젠트리피케이션","동네가 뜨면서 기존 주민이 밀려나는 변화","젠트리피케이션은 낙후 지역에 투자와 상권이 들어와 환경과 가치가 좋아지는 동시에 임대료가 올라 기존 주민·상인이 떠나게 되는 현상이다.","개선의 이익과 이주의 비용","카페와 문화시설이 늘고 안전이 좋아질 수 있지만 지역을 만든 사람들은 상승한 비용을 감당하지 못할 수 있다. 단순히 동네가 예뻐지는 현상과 구분하려면 누가 남고 떠나는지 봐야 한다.","발전을 멈추지 않고 함께 남는 방법","장기 임대, 공공 상가, 임대료 안정 장치, 주민 참여 개발이 대안으로 논의된다. 질문: 재산권과 지역 공동체 보호 사이의 기준을 어디에 둘까?",""
"TRUE","사회·상식","입문","디지털 리터러시","디지털 정보를 읽고 만들고 책임 있게 쓰는 능력","디지털 리터러시는 기기 조작을 넘어 온라인 정보를 찾고 신뢰도를 평가하며 콘텐츠를 만들고 안전·윤리를 지키는 종합 능력이다.","검색 결과 첫 줄이 정답은 아니다","작성자, 날짜, 근거, 원출처를 확인하고 다른 자료와 비교해야 한다. 이미지 역검색과 사실검증도 중요하며, 공유하기 전 감정을 강하게 자극하는 제목을 의심할 필요가 있다.","AI 시대에는 질문보다 검증이 중요하다","개인정보 보호, 저작권, 알고리즘 이해와 AI 결과 검증이 포함된다. 질문: 학생이 디지털 리터러시를 갖췄는지 단순 시험이 아닌 방법으로 어떻게 확인할까?",""
"TRUE","사회·상식","입문","플라시보 효과","치료 기대가 실제 증상에 영향을 준다","플라시보 효과는 유효 성분이 없는 처치라도 치료받는다는 기대와 상황 때문에 통증이나 주관적 증상이 개선되는 현상이다. 증상이 거짓이라는 뜻은 아니다.","기대·학습·의료 환경이 뇌에 작용한다","과거 경험으로 형성된 조건화, 의료진의 말과 치료 의식이 신경계 반응과 증상 인식에 영향을 줄 수 있다. 그러나 감염을 없애거나 부러진 뼈를 붙이는 만능 치료는 아니다.","효과를 검증하려면 비교가 필요하다","임상시험은 위약군과 치료군을 비교하고 가능하면 이중맹검을 사용한다. 질문: 환자에게 사실을 숨기지 않으면서 치료 기대의 긍정적 효과를 활용할 수 있을까?",""
"TRUE","사회·상식","중급","공유지의 비극","각자의 이익이 공동 자원을 고갈시킨다","공유지의 비극은 누구나 이용하지만 관리 책임은 분산된 자원에서 각자가 이익을 늘리면 전체 자원이 파괴될 수 있다는 개념이다.","목초지 한 마리 추가의 유혹","목동은 가축 한 마리를 늘린 이익을 대부분 얻지만 과도한 방목 피해는 모두가 나눠 부담한다. 이 선택이 반복되면 개인에게 합리적인 행동이 집단에는 나쁜 결과가 된다.","공유는 반드시 실패하는가?","명확한 이용 규칙, 감시, 벌칙, 신뢰와 공동체 자치로 자원을 지속 가능하게 관리한 사례도 있다. 질문: 교실 공용 장비의 분실과 고장을 줄이는 규칙을 어떻게 만들까?",""
"TRUE","사회·상식","중급","그린워싱","친환경처럼 보이게 만드는 과장","그린워싱은 기업이나 제품이 실제 환경 개선보다 광고와 표현을 통해 더 친환경적인 것처럼 보이게 하는 행위다.","모호한 말보다 전체 생애주기를 보기","‘자연’, ‘에코’, 초록색 포장만으로는 근거가 되지 않는다. 원료 채취, 생산, 운송, 사용, 폐기 전 과정의 배출량과 공인 인증, 수치와 비교 기준을 확인해야 한다.","완벽하지 않다고 모두 거짓은 아니다","부분적 개선도 의미가 있지만 작은 장점으로 큰 문제를 가리면 오해를 만든다. 질문: 친환경 광고를 평가하는 학생용 체크리스트에 어떤 질문 세 가지를 넣을까?",""
"TRUE","엉뚱한 상상","입문","로봇에게 월급을 줘야 할까?","월급은 노동의 대가인가 권리의 표시인가","로봇이 사람 대신 생산과 서비스를 수행해 수익을 만든다고 가정해보자. 로봇에게 직접 돈을 줄지보다 로봇이 만든 가치가 소유자·노동자·사회에 어떻게 분배되는지가 핵심 쟁점이다.","로봇 계좌가 생기면 달라질 것","유지보수비와 전기료를 스스로 결제하면 운영은 편해질 수 있지만 로봇이 법적 인격과 재산권을 가져야 하는지는 별개의 문제다. 기업이 책임을 로봇에게 떠넘길 위험도 있다.","나만의 로봇 노동 규칙","로봇세, 자동화 이익 공유, 사람의 재교육 기금 같은 대안을 설계할 수 있다. 질문: 로봇의 월급을 정한다면 누구에게 지급하고 어디에 사용하도록 할까?",""
"TRUE","엉뚱한 상상","입문","중력이 절반이 된다면?","몸무게는 절반, 질량은 그대로","지표 중력이 갑자기 절반이 되면 같은 사람의 무게는 절반이지만 질량과 관성은 그대로다. 높이 뛰고 물건을 들기는 쉬워져도 달리다 멈추는 데 필요한 힘의 성질은 남는다.","대기·바다·건축도 함께 변한다","물체가 떨어지는 가속도가 작아지고 발사체는 더 멀리 날아간다. 대기와 바다의 분포, 생물의 뼈와 근육, 건물 하중 기준과 위성 궤도까지 장기적으로 영향을 받는다.","가벼운 세상을 위한 새 규칙","교통 속도, 스포츠 기록, 안전 난간과 기계 설계를 다시 정해야 한다. 질문: 가장 먼저 위험해질 시설 하나와 새롭게 가능해질 기술 하나를 골라 해결책을 제안해보자.",""
"TRUE","엉뚱한 상상","입문","학교에 AI 교장 선생님이 온다면?","데이터로 운영되는 학교의 하루","AI 교장이 시간표, 예산, 급식, 상담 요청을 분석해 결정을 제안한다고 상상해보자. 반복 행정은 빨라질 수 있지만 학교는 효율만으로 운영되는 조직이 아니다.","공정한 계산에도 입력의 편향이 있다","과거 데이터를 학습하면 기존의 불공정이 반복될 수 있고, 학생의 행동 데이터를 많이 모을수록 감시 문제가 생긴다. 중요한 징계와 진로 결정에는 설명과 이의제기가 필요하다.","AI에게 맡길 일과 사람이 책임질 일","AI는 대안을 추천하되 최종 책임은 사람에게 두는 혼합 구조를 설계할 수 있다. 질문: AI 교장이 해도 되는 결정 세 가지와 절대 맡기면 안 되는 결정 한 가지는 무엇일까?",""
"TRUE","엉뚱한 상상","입문","스마트폰이 사라진 하루","가장 먼저 멈추는 것은 연락만이 아니다","스마트폰이 하루 동안 사라지면 메시지뿐 아니라 결제, 지도, 인증, 사진, 교통 정보가 동시에 끊긴다. 하나의 기기에 얼마나 많은 사회 기능이 모였는지 드러난다.","불편함과 해방감이 동시에 온다","약속 장소를 찾기 어렵고 긴급 연락이 늦어질 수 있지만 알림과 비교에서 벗어나 대면 대화와 집중이 늘 수도 있다. 디지털 격차가 반대로 디지털 의존 격차가 된다.","스마트폰 없는 비상 계획","학교의 종이 연락망, 현금·카드 대안, 공공 안내판 같은 백업을 설계해보자. 질문: 하루 동안 꼭 남겨야 할 스마트폰 기능 하나만 선택한다면 무엇이며 왜일까?",""
"TRUE","엉뚱한 상상","입문","화성에서 첫 학교를 만든다면?","교실보다 먼저 생존 시스템","화성 학교는 낮은 기압, 추위, 방사선과 먼지 폭풍을 견디는 밀폐 거주지 안에 있어야 한다. 학생은 지구식 교과와 함께 생명유지 장치 운용을 배워야 한다.","지구와 대화에는 긴 지연이 있다","화성과 지구 사이 통신은 위치에 따라 편도 수분에서 20분 넘게 걸릴 수 있어 실시간 원격수업이 어렵다. 물·산소·식량을 재활용하고 현지 자원을 활용하는 실습이 중요해진다.","첫 교육과정과 학교 규칙","모든 학생이 정비와 응급대응을 익히되 탐구와 예술도 포기하지 않아야 공동체가 지속된다. 질문: 화성 학교의 필수 과목 세 가지와 지구 학교에서 가져가지 않을 규칙 하나를 정해보자.",""
"TRUE","엉뚱한 상상","입문","기억을 파일로 저장할 수 있다면?","기억은 영상 파일과 같을까?","기억을 뇌에서 읽어 파일로 저장할 수 있다고 가정해도 기억은 카메라 기록처럼 완전하지 않다. 감정과 맥락, 회상할 때의 재구성이 함께 담길 가능성이 크다.","복사·편집·해킹이 가능한 나의 과거","소중한 경험을 보존하고 치매 치료를 도울 수 있지만 타인의 기억을 복사하거나 편집하면 정체성과 증언의 신뢰가 흔들린다. 기억 파일은 가장 민감한 개인정보가 된다.","기억 데이터 권리 선언","열람 동의, 삭제권, 상속, 법정 증거 사용과 보안 규칙이 필요하다. 질문: 나의 기억 파일을 가족·병원·법원이 각각 어떤 조건에서 볼 수 있게 할까?",""
"TRUE","엉뚱한 상상","입문","모든 자동차가 자율주행이 된다면?","운전대가 사라진 도로","모든 자동차가 자율주행으로 연결되면 차량끼리 속도와 경로를 조정해 사고와 정체를 줄일 수 있다. 이동 중 일하거나 쉬는 공간으로 차의 역할도 바뀐다.","완벽한 차량도 예외 상황을 만난다","센서 고장, 공사 구간, 악천후, 통신 장애와 예상하지 못한 사람 행동을 처리해야 한다. 중앙 시스템 오류나 해킹은 한 번에 많은 차량에 영향을 줄 수 있다.","사고 책임과 이동의 공정성","제조사·소프트웨어 회사·소유자 중 누가 책임질지 정하고 노약자와 장애인의 접근성을 보장해야 한다. 질문: 사람이 수동 운전을 선택할 권리를 남겨둘까?",""
"TRUE","엉뚱한 상상","입문","순간이동은 교통수단일까?","출발과 도착 사이가 사라진 이동","사람과 물건을 즉시 다른 장소로 보낼 수 있다면 거리보다 접속 권한과 에너지 비용이 교통의 핵심이 된다. 역, 도로, 항공 산업의 의미도 크게 변한다.","몸을 옮길까 정보를 복제할까","원자를 분해해 정보를 전송하고 다른 곳에서 재구성한다면 도착한 사람이 원래 나와 같은 사람인지 철학적 문제가 생긴다. 전송 오류와 목적지 안전 확인도 필수다.","순간이동 면허와 검문소","불법 침입을 막는 좌표 권한, 사고 보험, 생물 검역과 이용료 규칙을 설계해야 한다. 질문: 순간이동 장치를 대중교통으로 볼지 통신 서비스로 볼지 선택하고 근거를 말해보자.",""
"TRUE","엉뚱한 상상","입문","시험을 로봇이 대신 본다면?","점수는 누구의 능력을 보여줄까?","로봇이 학생 대신 시험을 보면 점수는 학생의 지식보다 로봇 선택·프로그래밍·도구 활용 능력을 반영한다. 기존 시험의 목적부터 다시 묻게 된다.","도구 사용도 실력이라는 주장","현실의 기술자는 검색과 AI를 활용하므로 도구를 잘 쓰는 능력을 평가할 수 있다. 반면 모든 학생의 로봇 성능이 다르면 경제력 차이가 점수 차이로 이어질 수 있다.","사람과 로봇을 함께 평가하는 방법","기초 개념은 개인이 설명하고 복잡한 문제는 로봇과 협업한 과정·검증 기록을 평가할 수 있다. 질문: 최종 답, 질문 설계, 오류 발견 중 무엇에 가장 높은 점수를 줄까?",""
"TRUE","엉뚱한 상상","입문","인터넷이 일주일간 멈춘다면?","보이지 않던 기반시설이 멈춘다","인터넷이 일주일 중단되면 영상과 SNS뿐 아니라 결제 승인, 물류, 예약, 클라우드 문서, 공장 원격관리까지 영향을 받는다. 연결망이 생활의 기반시설임이 드러난다.","완전한 정지보다 불균등한 마비","현금과 오프라인 시스템을 가진 기관은 버티지만 온라인 전용 서비스와 원격 노동자는 큰 피해를 본다. 가짜 정보가 퍼져도 공식 확인 채널이 부족해질 수 있다.","오프라인으로 버티는 사회 설계","지역 라디오, 종이 명단, 오프라인 결제 한도, 내부망과 데이터 백업이 필요하다. 질문: 학교가 7일을 운영하기 위해 오늘 미리 준비할 것 다섯 가지를 정해보자.",""
